"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"285213731439378432","285212853135364097","10833712","","","2012-12-30 02:40:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@matt_deboard not saying it was a surprise, more a down-payment on enjoying a movie in a few years."
"285213582768082945","285213303909789696","8119452","","","2012-12-30 02:39:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dansinker @jessevondoom I've never read any of the books, so it'll be a surprise to me either way."
"285212790912872448","","","285207440352505857","11604","2012-12-30 02:36:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @torrez: For two years (2010/2012) I have only listened to music released in that year. In 2013 I am going to let you pick. http://t. ..."
"285212745836666881","285207440352505857","11604","","","2012-12-30 02:36:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@torrez what about 2013, doy!"
"285212376071012354","","","","","2012-12-30 02:35:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hobbit was exactly like the 1st LOTR movie: short dudes running around spouting exposition, getting in fights. Next 2 movies better pay off."
"285211937246150656","285211849681674241","78194111","","","2012-12-30 02:33:19 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ChelseaVPeretti THEY ARE A GROUP GET IT STRAIGHT"
"285211590373031936","285211002415497216","78194111","","","2012-12-30 02:31:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ChelseaVPeretti this reminds me I have to finish my 3000-word piece on P.M. Dawn, it's seriously heart-rending."
"285205650181611520","285205038501068800","42459273","","","2012-12-30 02:08:20 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@harviej says who?"
"285202829503787008","285093684221976576","78194111","","","2012-12-30 01:57:08 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","@ChelseaVPeretti Chart: \"
"285202312769728512","285202241705615360","821042","","","2012-12-30 01:55:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@markjaquith @waldojaquith agreed 100%."
